facility_id,facility_type,facility_name,latitude,longitude,country,status,capacity,coordinate_accuracy
P100001045296,steel,Action Ispat and Power Jharsuguda steel plant,21.839759,83.982227,India,,,exact
P100001025815,steel,Adhunik Metaliks Kuanrmunda steel plant,22.308371,84.763584,India,,,exact
P100000120532,steel,ArcelorMittal Bellary steel plant,15.139498,76.918417,India,,,approximate
P100001025671,steel,ArcelorMittal Nippon Steel Anakapalle steel plant,17.407103,82.723183,India,,,approximate
P100001025669,steel,ArcelorMittal Nippon Steel Gadchiroli steel plant,20.168486,79.987119,India,,,approximate
P100000120513,steel,ArcelorMittal Nippon Steel Hazira plant,21.112377,72.647304,India,,,exact
P100000120573,steel,ArcelorMittal Nippon Steel Kendrapara plant,20.71042,86.282806,India,,,approximate
P100000121178,steel,ArcelorMittal Nippon Steel Paradip plant,20.284771,86.658266,India,,,approximate
P100000120568,steel,Arjas Steel Tadipatri plant,14.873471,78.048425,India,,,exact
P100000120564,steel,Atibir Industries Bhorandiha steel plant,24.145239,86.334999,India,,,exact
P100001023581,steel,Baldota Koppal steel plant,15.332616,76.206778,India,,,exact
P100001062088,steel,Bhagyalaxmi Metals Mul steel plant,20.088919,79.71792,India,,,exact
P100000120512,steel,BMM Ispat Danapur steel plant,15.16972,76.37971,India,,,exact
P100001061667,steel,BPA Metallics Raigarh steel plant,21.926993,83.374089,India,,,approximate
P100001082544,steel,Captain Steel Debipur steel plant,23.782149607591688,86.83591234561024,India,,,exact
P100001023577,steel,Captain Steel Garbeta steel plant,22.855859,87.345018,India,,,approximate
P100001045282,steel,Crest Steel and Power Mangatta steel plant,21.190313,81.19922,India,,,exact
P100000120534,steel,Electrosteel Bokaro steel plant,23.632907,86.293671,India,,,exact
P100000121207,steel,Electrosteel Castings Srikalahasthi steel plant,13.717188,79.630588,India,,,exact
P100000121195,steel,Evonith Metallics Wardha steel plant,20.704605,78.620293,India,,,exact
P100000121236,steel,Evonith Value Steel Wardha steel plant,20.696412,78.638548,India,,,exact
P100001045317,steel,Gallantt Ispat Gorakhpur steel plant,26.757009,83.199086,India,,,exact
P100000121216,steel,Godawari Power and Ispat Sarora steel plant,21.565032,81.739447,India,,,exact
P100000120557,steel,Godawari Power and Ispat Siltara steel plant,21.376214,81.681888,India,,,exact
P100000120552,steel,Hospet Steels Hospet plant,15.339055,76.251696,India,,,exact
P100000120560,steel,Jai Balaji Durgapur Unit IV steel plant,23.483075,87.352189,India,,,exact
P100000120562,steel,Jai Balaji Jyoti Steels Sundargarh plant,22.085338,84.86184,India,,,exact
P100001025922,steel,Jai Balaji Rajbandh Unit III steel plant,23.487439,87.369494,India,,,exact
P100000120547,steel,Jayaswal Neco Industries Raipur steel plant,21.354495,81.676444,India,,,exact
P100000120544,steel,Jindal Stainless Hisar steel plant,29.127253,75.773075,India,,,exact
P100000120543,steel,Jindal Stainless Jajpur steel plant,20.954939,86.051986,India,,,exact
P100001061405,steel,Jindal Stainless Maharashtra steel plant,19.314475,72.976623,India,,,approximate
P100000120515,steel,Jindal Steel Angul steel plant,20.884896,84.991539,India,,,exact
P100000121173,steel,Jindal Steel Asanboni steel plant,24.131037,87.438728,India,,,approximate
P100001062086,steel,Jindal Steel Chhattisgarh steel plant,21.895041,83.376759,India,,,approximate
P100000121034,steel,Jindal Steel Krishnapatnam steel plant,14.254675,80.108702,India,,,approximate
P100000120542,steel,Jindal Steel Patratu steel plant,23.632991,85.325308,India,,,exact
P100000120516,steel,Jindal Steel Raigarh steel plant,21.922703,83.347178,India,,,exact
P100001044907,steel,JSOL Angul steel plant,20.874713,84.944082,India,,,exact
P100000120521,steel,JSW Bengal Steel Salboni plant,22.575726,87.310258,India,,,approximate
P100000120537,steel,JSW BPSL Jharkhand steel plant,22.665526,85.64622,India,,,approximate
P100000120510,steel,JSW BPSL Jharsuguda steel plant,21.763989,84.022529,India,,,exact
P100000120570,steel,JSW Green Steel Salav plant,18.530853,72.947091,India,,,exact
P100001023560,steel,JSW POSCO Keonjhar steel plant,20.248632,86.156416,India,,,approximate
P100000121039,steel,JSW Rayalseema steel plant,14.76855,78.403263,India,,,exact
P100000120517,steel,JSW Steel Dolvi steel plant,18.690312,73.035902,India,,,exact
P100001045504,steel,JSW Steel Gadchiroli steel plant,20.1846793,79.9957641,India,,,approximate
P100000120520,steel,JSW Steel Jharkhand steel plant,23.188108,85.715097,India,,,approximate
P100000120536,steel,JSW Steel Raigarh steel plant,21.983709,83.238133,India,,,exact
P100000120518,steel,JSW Steel Salem steel plant,11.814912,77.918465,India,,,exact
P100000120519,steel,JSW Steel Vijayanagar steel plant,15.180423,76.663134,India,,,exact
P100000120539,steel,JSW Utkal Steel Rajnagar plant,20.216667,86.55,India,,,approximate
P100000120538,steel,JSW Vijayanagar Metallics steel plant,15.203176,76.659122,India,,,approximate
P100001025631,steel,Kalyani Steels Dhenkanal steel plant,20.601819,85.594653,India,,,approximate
P100001062093,steel,Kapila Metals Jalna steel plant,19.874223,75.817553,India,,,exact
P100001045284,steel,KIC Metaliks Durgapur steel plant,23.507539,87.277914,India,,,exact
P100000120522,steel,Lloyds Metals and Energy Ltd Ghugus steel plant,19.929837,79.119344,India,,,exact
P100000121179,steel,Lloyds Metals and Energy Ltd Konsari steel plant,19.770409,79.813599,India,,,exact
P100000120559,steel,Mesco Steel Kalinganagar plant,20.976277,86.044419,India,,,exact
P100000121239,steel,Mono Steel Gandhidham plant,23.312265,70.201953,India,,,exact
P100000120567,steel,MSP Steel & Power Raigarh plant,21.87673,83.554495,India,,,exact
P100001062087,steel,Mukand Sumi Special Steel Hospet steel plant,15.328976,76.258613,India,,,exact
P100001025672,steel,N R Ispat and Power Raigarh steel plant,22.013086,83.330372,India,,,exact
P100000120540,steel,Neelachal Ispat Nigam steel plant,20.998641,86.019102,India,,,exact
P100000121165,steel,Nilachal Iron & Power Gamharia steel plant,22.874863,86.063646,India,,,exact
P100000120548,steel,NMDC Karnataka steel plant,15.186288,76.916591,India,,,approximate
P100000120523,steel,NMDC Nagarnar steel plant,19.0931901,82.17,India,,,exact
P100000121188,steel,Orissa Alloy Steel Kharagpur Plant,22.364258,87.309047,India,,,exact
P100000121187,steel,Orissa Metaliks Kharagpur steel plant,22.378355,87.281773,India,,,exact
P100000120566,steel,Orissa Metaliks Markuta steel plant,21.856747,83.966244,India,,,exact
P100000120563,steel,Orissa Sponge Iron and Steel plant,21.801994,85.56751,India,,,exact
P100000121189,steel,Orissa Steel and Power Jhargram steel plant,22.3591,87.017184,India,,,exact
P100000120558,steel,Prakash Industries Janjgir steel plant,22.004694,82.671666,India,,,exact
P100000121190,steel,Prakash Sponge Iron and Power Challakere steel plant,14.152912,76.665824,India,,,exact
P100000120553,steel,Ramsarup Industries Kharagpur steel plant,22.977477,88.457443,India,,,exact
P100001025938,steel,Rashmi Green Hydrogen Steel Kharagpur steel plant,22.331489,87.398085,India,,,exact
P100000120556,steel,Rashmi Metaliks Jamuria steel plant,23.706343,87.07774,India,,,approximate
P100000120555,steel,Rashmi Metaliks Kharagpur steel plant,22.360664,87.295932,India,,,exact
P100000120531,steel,RINL Vizag Steel plant,17.612846,83.191918,India,,,exact
P100001025819,steel,Rungta Mines Chaliyama steel plant,22.588359,85.905724,India,,,exact
P100000120569,steel,Rungta Mines Dhenkanal steel plant,20.764524,85.299318,India,,,exact
P100000121186,steel,Rungta Mines Kamanda steel plant,21.928511,85.223988,India,,,exact
P100000121185,steel,Rungta Mines Karakhendra steel plant,22.140174,85.414616,India,,,exact
P100001025818,steel,Rungta Mines Karakolha sponge iron plant,22.13237,85.417031,India,,,exact
P100000120549,steel,SAIL Alloy steel plant,23.522882,87.275935,India,,,exact
P100000120525,steel,SAIL Bhilai steel plant,21.185157,81.394207,India,,,exact
P100000120526,steel,SAIL Bokaro steel plant,23.671677,86.10687,India,,,exact
P100000120527,steel,SAIL Durgapur steel plant,23.54843,87.245247,India,,,exact
P100000120524,steel,SAIL IISCO steel plant,23.673236,86.926179,India,,,exact
P100000120550,steel,SAIL Paradip steel plant,20.317455,86.609001,India,,,approximate
P100001081803,steel,SAIL Ranchi DRI plant,23.3356313803427,85.31236535745192,India,,,approximate
P100000120528,steel,SAIL Rourkela steel plant,22.210804,84.86895,India,,,exact
P100000121191,steel,Shakambhari Ispat and Power Purulia steel plant,23.613861,86.789527,India,,,exact
P100000121192,steel,Shri Bajrang Power & Ispat Tilda steel plant,21.48619,81.771697,India,,,exact
P100000121183,steel,Shyam Metalics Jamuria steel plant,23.693749,87.122711,India,,,exact
P100000121184,steel,Shyam Metalics Sambalpur steel plant,21.680344,84.04179,India,,,exact
P100000121182,steel,Shyam Steel Mejia steel plant,23.564157,87.089552,India,,,exact
P100000121181,steel,Shyam Steel Raghunathpur steel plant,23.590212,86.724603,India,,,approximate
P100000120575,steel,Sunflag Iron and Steel plant,21.232929,79.632398,India,,,exact
P100001025670,steel,Surjagad Ispat Gadchiroli steel plant,19.487201,79.968551,India,,,approximate
P100000121193,steel,Swadesh Metallics Simga steel plant,21.625706,81.705254,India,,,approximate
P100000120546,steel,Tata Metaliks Kharagpur steel plant,22.385611,87.287179,India,,,exact
P100000120535,steel,Tata Steel Gamharia steel plant,22.812895,86.084022,India,,,exact
P100000120529,steel,Tata Steel Jamshedpur steel plant,22.788598,86.1996,India,,,exact
P100000120530,steel,Tata Steel Kalinganagar steel plant,20.970411,86.015211,India,,,exact
P100000120576,steel,Tata Steel Ludhiana steel plant,30.946888,75.987521,India,,,exact
P100000120511,steel,Tata Steel Meramandali steel plant,20.796053,85.260382,India,,,exact
P100000121194,steel,Uttam Galva Ferrous Bellary steel plant,15.184613,76.824905,India,,,exact
P100001054309,steel,Vardhman Special Steels Ludhiana steel plant,30.890103,75.908673,India,,,approximate
P100000121205,steel,Vedanta Sesa Goa Pig Iron Plant,15.526866,73.986671,India,,,exact
P100000120541,steel,Welspun Metallics Anjar Steel plant,23.112781,70.0866885,India,,,exact
P100000120551,steel,Xindia Steels Koppal plant,15.293421,76.234947,India,,,exact
P100000121032,steel,Yazdani Steel and Power Kalinganagar steel plant,20.928285,86.036604,India,,,exact
P100000123900,cement,Birla Corporation Satna Cement Plant,24.595585,80.858324,India,operating,2.7,exact
P100000123901,cement,Birla Corporation Chanderia Cement Plant,24.930921,74.634164,India,operating,4.2,exact
P100000123902,cement,KJS Cement Maihar Cement Plant,24.254955,80.797654,India,operating,3.5,exact
P100000123903,cement,Birla Corporation Raebareli Cement Plant,26.253459,81.250948,India,operating,1.24,exact
P100000123904,cement,Birla Corporation Durgapur Cement Plant,23.562033,87.233368,India,operating,2.05,exact
P100000123905,cement,RCCPL Butibori Cement Plant,20.928244,78.922224,India,operating,0.58,exact
P100000123906,cement,RCCPL Kundanganj Cement Plant,26.404843,81.130322,India,operating,3.61,exact
P100000123907,cement,My Home Industries Nalgonda Cement Plant,16.810365,79.917592,India,operating,6.4,exact
P100000123908,cement,My Home Industries Bayyavaram Cement Plant,17.503171,82.772664,India,operating,2.0,exact
P100000123909,cement,Ambuja Cements Mela Maruthur Cement Plant,8.893025,78.133482,India,operating,1.5,exact
P100000123910,cement,Cement Corporation of India Bokajan Cement Plant,26.020467,93.766061,India,operating,1.98,exact
P100000123911,cement,Cement Corporation of India Tandur Cement Plant,17.308637,77.475053,India,operating,1.0,exact
P100000123912,cement,Cement Corporation of India Rajban Cement Plant,30.521323,77.661101,India,operating,2.0,exact
P100000123913,cement,Cement Corporation of India Nayagaon Cement Plant,24.540356,74.773539,India,mothballed,0.9,exact
P100000123914,cement,Cement Corporation of India Akaltara Cement Plant,22.002518,82.40836,India,mothballed,0.4,exact
P100000123915,cement,Cement Corporation of India Kurgunta Cement Plant,17.183522,77.347377,India,mothballed,0.2,exact
P100000123916,cement,Century Textiles and Industries Baikunth Cement Plant,21.497444,81.782887,India,operating,2.4,exact
P100000123917,cement,UltraTech Cement Gadchandur Cement Plant,19.724394,79.176075,India,operating,6.0,exact
P100000123918,cement,UltraTech Cement Maihar Cement Plant,24.202644,80.799867,India,operating,12.0,exact
P100000123919,cement,UltraTech Cement Dhalo Cement Plant,24.388462,88.083237,India,operating,3.3,exact
P100000123920,cement,Chettinad Cement Corporation Sangam K Cement Plant,17.370099,77.445669,India,operating,2.5,exact
P100000123921,cement,Chettinad Cement Corporation Karikkali Cement Plant,10.712417,78.093078,India,operating,4.5,exact
P100000123922,cement,Chettinad Cement Corporation Ariyalur Cement Plant,11.058644,79.063006,India,operating,5.5,exact
P100000123923,cement,Chettinad Cement Corporation Puliyur Cement Plant,10.937116,78.152888,India,operating,1.7,exact
P100000123924,cement,Chettinad Cement Corporation Solapur Cement Plant,17.530246,76.040366,India,operating,2.0,exact
P100000123925,cement,Dalmia Cement (Bharat) East Jaintia Hills Cement Plant,25.191604,92.359386,India,operating,1.5,exact
P100000123927,cement,Dalmia Cement (Bharat) YSR District Cement Plant,14.932014,78.339902,India,operating,3.6,exact
P100000123928,cement,Dalmia Cement (Bharat) Tiruchirappalli Cement Plant,10.968101,78.947252,India,operating,3.4,exact
P100000123929,cement,Dalmia Cement (Bharat) Ariyalur Cement Plant,11.182995,79.09975,India,operating,3.0,exact
P100000123930,cement,Dalmia Cement (Bharat) Belagavi Cement Plant,16.204723,75.209295,India,operating,4.0,exact
P100000123932,cement,OCL India Rajgangpur Cement Plant,22.201498,84.58922,India,operating,6.25,exact
P100000123933,cement,Dalmia Cement (North East) Lanka Cement Plant,25.891479,92.975349,India,operating,5.9,exact
P100000123934,cement,Dalmia Cement (Bharat) Bokaro Steel City Cement Plant,23.700238,86.063099,India,operating,4.5,exact
P100000123935,cement,Dalmia Cement (Bharat) Amiyajhari Cement Plant,20.628053,86.000291,India,operating,3.95,exact
P100000123936,cement,OCL India Salboni Cement Plant,22.528774,87.313274,India,operating,1.35,exact
P100000123937,cement,Alsthom Industries Baghjap Cement Plant,26.168341,92.214092,India,operating,0.6,exact
