osm_id,osm_type,name,facility_type_tag,lat,lon,facility_id
0,synthetic,Synthetic Facility 0,industrial,22.10135165341156,73.17133350913548,IND-0000
1,synthetic,Synthetic Facility 1,industrial,21.73276628372726,73.32725681270395,IND-0001
2,synthetic,Synthetic Facility 2,industrial,22.19445771190252,72.8780777506967,IND-0002
3,synthetic,Synthetic Facility 3,industrial,22.017104831965298,72.90932179422441,IND-0003
4,synthetic,Synthetic Facility 4,industrial,21.353595082676414,72.97868906789307,IND-0004
5,synthetic,Synthetic Facility 5,industrial,22.32318458680043,72.782629951359,IND-0005
6,synthetic,Synthetic Facility 6,industrial,22.087253672189387,72.74094505373482,IND-0006
7,synthetic,Synthetic Facility 7,industrial,22.114670735804648,72.98299344835816,IND-0007
8,synthetic,Synthetic Facility 8,industrial,21.3909249959431,72.80883654433562,IND-0008
9,synthetic,Synthetic Facility 9,industrial,21.745424531685124,73.11886979627776,IND-0009
10,synthetic,Synthetic Facility 10,industrial,21.657877826655838,72.95600634321063,IND-0010
11,synthetic,Synthetic Facility 11,industrial,22.26944148773346,73.2328747372405,IND-0011
12,synthetic,Synthetic Facility 12,industrial,21.95825163208873,73.14018557140157,IND-0012
13,synthetic,Synthetic Facility 13,industrial,22.15503777459791,72.86865664896743,IND-0013
14,synthetic,Synthetic Facility 14,industrial,21.737755618710064,73.23258186097665,IND-0014
15,synthetic,Synthetic Facility 15,industrial,21.499962593963254,73.21333505024776,IND-0015
16,synthetic,Synthetic Facility 16,industrial,21.860043265717415,72.92123486532113,IND-0016
17,synthetic,Synthetic Facility 17,industrial,21.320198981714594,72.85182967275117,IND-0017
18,synthetic,Synthetic Facility 18,industrial,22.16039428919184,73.12774685278248,IND-0018
19,synthetic,Synthetic Facility 19,industrial,21.94483083903427,72.74782673852651,IND-0019
20,synthetic,Synthetic Facility 20,industrial,22.083896514093908,72.78993574173258,IND-0020
21,synthetic,Synthetic Facility 21,industrial,21.639978564942854,72.6551535888257,IND-0021
22,synthetic,Synthetic Facility 22,industrial,22.31776782683439,73.2008470642515,IND-0022
23,synthetic,Synthetic Facility 23,industrial,22.232433233454415,73.11539559961443,IND-0023
24,synthetic,Synthetic Facility 24,industrial,22.106221846781136,73.14361576503843,IND-0024
25,synthetic,Synthetic Facility 25,industrial,21.464102578637164,73.19651032171538,IND-0025
26,synthetic,Synthetic Facility 26,industrial,21.763393104099737,72.97124104287684,IND-0026
27,synthetic,Synthetic Facility 27,industrial,21.29818414236595,73.04811883716702,IND-0027
28,synthetic,Synthetic Facility 28,industrial,21.419718441274302,72.74785789868936,IND-0028
29,synthetic,Synthetic Facility 29,industrial,22.001353848566698,72.73017105147518,IND-0029
