detection_id,branch,facility_id,latitude,longitude,date,acq_date,acq_time,frp,brightness,bright_t31,scan,track,confidence,satellite,instrument,daynight,type,baseline_or_population_reference,deviation_ratio,anomaly_score,fire_event_detected,severity,contributing_factors
DET-62d3447e5d1d,industrial,IND-0008,21.38977,72.80866,2026-05-22,2026-05-22,2253,117.1,338.9,307.9,0.48,0.49,nominal,N,VIIRS,D,0,71.25,1.6435087719298245,-0.03845191488952904,True,MEDIUM,"[""isolation_forest_outlier""]"
DET-cb4f755a9b7c,industrial,IND-0014,21.73763,73.23103,2026-06-15,2026-06-15,703,14.7,329.2,303.3,0.4,0.77,nominal,N,VIIRS,D,0,21.320833333333333,0.6894664842681258,-0.01919505858504955,True,MEDIUM,"[""isolation_forest_outlier""]"
DET-cd84fd61557e,industrial,IND-0000,22.10029,73.16958,2026-03-16,2026-03-16,2048,31.6,342.6,306.0,0.76,0.54,nominal,N,VIIRS,N,0,46.7875,0.6753940689286668,-0.003233981470512126,True,MEDIUM,"[""isolation_forest_outlier""]"
DET-6c27dc91796b,industrial,IND-0020,22.0801,72.79126,2026-03-23,2026-03-23,2123,34.3,320.7,299.0,0.93,0.39,high,N,VIIRS,D,0,29.6,1.1587837837837835,-0.002180410023931434,True,MEDIUM,"[""isolation_forest_outlier"", ""spatial_spread""]"
DET-0b1e801b03e8,industrial,IND-0004,21.35422,72.9769,2026-03-10,2026-03-10,2059,20.7,315.5,293.1,0.89,0.44,nominal,N,VIIRS,N,0,,,-0.015289205913131099,True,MEDIUM,"[""isolation_forest_outlier""]"
DET-2e246cadc46d,industrial,IND-0022,22.3147,73.19954,2026-04-27,2026-04-27,259,14.8,319.1,296.4,1.13,0.73,nominal,N,VIIRS,D,0,10.875,1.360919540229885,-0.029297216553504368,True,MEDIUM,"[""isolation_forest_outlier""]"
DET-0c214eedf415,industrial,IND-0004,21.35673,72.97953,2026-07-22,2026-07-22,1246,32.9,341.1,306.4,1.16,0.42,nominal,N,VIIRS,D,0,20.666666666666668,1.5919354838709676,-0.08024739345747,True,HIGH,"[""frp_spike"", ""isolation_forest_outlier""]"
DET-5487edd1596c,industrial,IND-0000,22.10028,73.16953,2026-07-14,2026-07-14,720,17.5,339.6,286.7,0.98,0.89,nominal,N,VIIRS,D,0,35.58333333333333,0.49180327868852464,-0.007728119712450021,True,MEDIUM,"[""isolation_forest_outlier""]"
DET-cbcb8579e154,industrial,IND-0020,22.08215,72.7904,2026-06-06,2026-06-06,748,599.5,483.6,343.5,0.86,0.52,high,N,VIIRS,N,0,27.4875,21.809913597089587,-0.3367974993281797,True,HIGH,"[""frp_spike"", ""hotspot_count_increase"", ""isolation_forest_outlier"", ""spatial_spread""]"
DET-f4b9a6f69ebd,industrial,IND-0007,22.11748,72.98409,2026-08-10,2026-08-10,414,31.3,321.8,292.8,0.92,0.68,high,N,VIIRS,N,0,9.6,3.260416666666667,-0.0778539915998151,True,MEDIUM,"[""isolation_forest_outlier""]"
DET-b18a681001a4,industrial,IND-0000,22.0986,73.17086,2026-03-16,2026-03-16,1919,41.5,312.8,285.2,0.43,0.75,high,N,VIIRS,D,0,46.7875,0.88698904621961,-0.003233981470512126,True,MEDIUM,"[""isolation_forest_outlier""]"
